name                             , subgroup                  , order                                      , type                               , icon
signal-A                         , virtual-signal-letter     , c[letters]-[A]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_A.png
signal-B                         , virtual-signal-letter     , c[letters]-[B]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_B.png
signal-C                         , virtual-signal-letter     , c[letters]-[C]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_C.png
signal-D                         , virtual-signal-letter     , c[letters]-[D]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_D.png
signal-E                         , virtual-signal-letter     , c[letters]-[E]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_E.png
signal-F                         , virtual-signal-letter     , c[letters]-[F]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_F.png
signal-G                         , virtual-signal-letter     , c[letters]-[G]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_G.png
signal-H                         , virtual-signal-letter     , c[letters]-[H]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_H.png
signal-I                         , virtual-signal-letter     , c[letters]-[I]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_I.png
signal-J                         , virtual-signal-letter     , c[letters]-[J]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_J.png
signal-K                         , virtual-signal-letter     , c[letters]-[K]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_K.png
signal-L                         , virtual-signal-letter     , c[letters]-[L]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_L.png
signal-M                         , virtual-signal-letter     , c[letters]-[M]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_M.png
signal-N                         , virtual-signal-letter     , c[letters]-[N]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_N.png
signal-O                         , virtual-signal-letter     , c[letters]-[O]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_O.png
signal-P                         , virtual-signal-letter     , c[letters]-[P]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_P.png
signal-Q                         , virtual-signal-letter     , c[letters]-[Q]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_Q.png
signal-R                         , virtual-signal-letter     , c[letters]-[R]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_R.png
signal-S                         , virtual-signal-letter     , c[letters]-[S]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_S.png
signal-T                         , virtual-signal-letter     , c[letters]-[T]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_T.png
signal-U                         , virtual-signal-letter     , c[letters]-[U]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_U.png
signal-V                         , virtual-signal-letter     , c[letters]-[V]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_V.png
signal-W                         , virtual-signal-letter     , c[letters]-[W]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_W.png
signal-X                         , virtual-signal-letter     , c[letters]-[X]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_X.png
signal-Y                         , virtual-signal-letter     , c[letters]-[Y]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_Y.png
signal-Z                         , virtual-signal-letter     , c[letters]-[Z]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_Z.png
signal-comma                     , virtual-signal-letter     , zb[comma]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-comma.png
signal-letter-dot                , virtual-signal-letter     , zc[letter-dot]                             , virtual-signal                     , __base__/graphics/icons/signal/signal-letter-dot.png
signal-exclamation-mark          , virtual-signal-letter     , zd[exclamation-mark]                       , virtual-signal                     , __base__/graphics/icons/signal/signal-exclamation-mark.png
signal-question-mark             , virtual-signal-letter     , ze[question-mark]                          , virtual-signal                     , __base__/graphics/icons/signal/signal-question-mark.png
signal-colon                     , virtual-signal-punctuation, e[colon]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-colon.png
signal-slash                     , virtual-signal-punctuation, f[slash]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-slash.png
signal-apostrophe                , virtual-signal-punctuation, g[apostrophe]                              , virtual-signal                     , __base__/graphics/icons/signal/signal-apostrophe.png
signal-quotation-mark            , virtual-signal-punctuation, h[quotation-mark]                          , virtual-signal                     , __base__/graphics/icons/signal/signal-quotation-mark.png
signal-ampersand                 , virtual-signal-punctuation, i[ampersand]                               , virtual-signal                     , __base__/graphics/icons/signal/signal-ampersand.png
signal-circumflex-accent         , virtual-signal-punctuation, j[circumflex-accent]                       , virtual-signal                     , __base__/graphics/icons/signal/signal-circumflex-accent.png
signal-number-sign               , virtual-signal-punctuation, k[number-sign]                             , virtual-signal                     , __base__/graphics/icons/signal/signal-number-sign.png
signal-percent                   , virtual-signal-punctuation, l[percent]                                 , virtual-signal                     , __base__/graphics/icons/signal/signal-percent.png
signal-plus                      , virtual-signal-math       , aa[plus]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-plus.png
signal-minus                     , virtual-signal-math       , ab[minus]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-minus.png
signal-multiplication            , virtual-signal-math       , ac[multiplication]                         , virtual-signal                     , __base__/graphics/icons/signal/signal-multiplication.png
signal-division                  , virtual-signal-math       , ad[division]                               , virtual-signal                     , __base__/graphics/icons/signal/signal-division.png
signal-equal                     , virtual-signal-math       , ae[equal]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-equal.png
signal-not-equal                 , virtual-signal-math       , af[not-equal]                              , virtual-signal                     , __base__/graphics/icons/signal/signal-not-equal.png
signal-less-than                 , virtual-signal-math       , ba[less-than]                              , virtual-signal                     , __base__/graphics/icons/signal/signal-less-than.png
signal-greater-than              , virtual-signal-math       , bb[greater-than]                           , virtual-signal                     , __base__/graphics/icons/signal/signal-greater-than.png
signal-less-than-or-equal-to     , virtual-signal-math       , bc[less-than-or-equal-to]                  , virtual-signal                     , __base__/graphics/icons/signal/signal-less-than-or-equal-to.png
signal-greater-than-or-equal-to  , virtual-signal-math       , bd[greater-than-or-equal-to]               , virtual-signal                     , __base__/graphics/icons/signal/signal-greater-than-or-equal-to.png
signal-left-parenthesis          , virtual-signal-math       , da[left-parenthesis]                       , virtual-signal                     , __base__/graphics/icons/signal/signal-left-parenthesis.png
signal-right-parenthesis         , virtual-signal-math       , db[right-parenthesis]                      , virtual-signal                     , __base__/graphics/icons/signal/signal-right-parenthesis.png
signal-left-square-bracket       , virtual-signal-math       , dc[left-square-bracket]                    , virtual-signal                     , __base__/graphics/icons/signal/signal-left-square-bracket.png
signal-right-square-bracket      , virtual-signal-math       , dd[right-square-bracket]                   , virtual-signal                     , __base__/graphics/icons/signal/signal-right-square-bracket.png
shape-vertical                   , shapes                    , a[straight-vertical]                       , virtual-signal                     , __base__/graphics/icons/shapes/shape-vertical.png
shape-horizontal                 , shapes                    , b[straight-horizontal]                     , virtual-signal                     , __base__/graphics/icons/shapes/shape-horizontal.png
shape-diagonal                   , shapes                    , h[diagonal-1]                              , virtual-signal                     , __base__/graphics/icons/shapes/shape-diagonal.png
shape-diagonal-2                 , shapes                    , h[diagonal-2]                              , virtual-signal                     , __base__/graphics/icons/shapes/shape-diagonal-2.png
shape-curve                      , shapes                    , c[curve-1]                                 , virtual-signal                     , __base__/graphics/icons/shapes/shape-curve.png
shape-curve-2                    , shapes                    , c[curve-2]                                 , virtual-signal                     , __base__/graphics/icons/shapes/shape-curve-2.png
shape-curve-3                    , shapes                    , i[curve-3]                                 , virtual-signal                     , __base__/graphics/icons/shapes/shape-curve-3.png
shape-curve-4                    , shapes                    , i[curve-4]                                 , virtual-signal                     , __base__/graphics/icons/shapes/shape-curve-4.png
shape-cross                      , shapes                    , f[cross]                                   , virtual-signal                     , __base__/graphics/icons/shapes/shape-cross.png
shape-diagonal-cross             , shapes                    , g[diagonal-cross]                          , virtual-signal                     , __base__/graphics/icons/shapes/shape-diagonal-cross.png
shape-corner                     , shapes                    , d[corner-1]                                , virtual-signal                     , __base__/graphics/icons/shapes/shape-corner.png
shape-corner-2                   , shapes                    , d[corner-2]                                , virtual-signal                     , __base__/graphics/icons/shapes/shape-corner-2.png
shape-corner-3                   , shapes                    , jb[corner-3]                               , virtual-signal                     , __base__/graphics/icons/shapes/shape-corner-3.png
shape-corner-4                   , shapes                    , ja[corner-4]                               , virtual-signal                     , __base__/graphics/icons/shapes/shape-corner-4.png
shape-t                          , shapes                    , e[t-1]                                     , virtual-signal                     , __base__/graphics/icons/shapes/shape-t.png
shape-t-2                        , shapes                    , e[t-2]                                     , virtual-signal                     , __base__/graphics/icons/shapes/shape-t-2.png
shape-t-3                        , shapes                    , kb[t-3]                                    , virtual-signal                     , __base__/graphics/icons/shapes/shape-t-3.png
shape-t-4                        , shapes                    , k[t-4]                                     , virtual-signal                     , __base__/graphics/icons/shapes/shape-t-4.png
shape-circle                     , shapes                    , l[circle]                                  , virtual-signal                     , __base__/graphics/icons/shapes/shape-circle.png
up-arrow                         , arrows                    , a[up-arrow]                                , virtual-signal                     , __base__/graphics/icons/arrows/up-arrow.png
up-right-arrow                   , arrows                    , b[up-right-arrow]                          , virtual-signal                     , __base__/graphics/icons/arrows/up-right-arrow.png
right-arrow                      , arrows                    , c[right-arrow]                             , virtual-signal                     , __base__/graphics/icons/arrows/right-arrow.png
down-right-arrow                 , arrows                    , d[down-right-arrow]                        , virtual-signal                     , __base__/graphics/icons/arrows/down-right-arrow.png
down-arrow                       , arrows                    , e[down-arrow]                              , virtual-signal                     , __base__/graphics/icons/arrows/down-arrow.png
down-left-arrow                  , arrows                    , f[down-left-arrow]                         , virtual-signal                     , __base__/graphics/icons/arrows/down-left-arrow.png
left-arrow                       , arrows                    , g[left-arrow]                              , virtual-signal                     , __base__/graphics/icons/arrows/left-arrow.png
up-left-arrow                    , arrows                    , h[up-left-arrow]                           , virtual-signal                     , __base__/graphics/icons/arrows/up-left-arrow.png
signal-rightwards-leftwards-arrow, arrows-misc               , a[rightwards-leftwards-arrow]              , virtual-signal                     , __base__/graphics/icons/arrows/signal-rightwards-leftwards-arrow.png
signal-upwards-downwards-arrow   , arrows-misc               , b[upwards-downwards-arrow]                 , virtual-signal                     , __base__/graphics/icons/arrows/signal-upwards-downwards-arrow.png
signal-shuffle                   , arrows-misc               , c[shuffle]                                 , virtual-signal                     , __base__/graphics/icons/arrows/signal-shuffle.png
signal-left-right-arrow          , arrows-misc               , dleft-right-arrow]                         , virtual-signal                     , __base__/graphics/icons/arrows/signal-left-right-arrow.png
signal-up-down-arrow             , arrows-misc               , e[up-down-arrow]                           , virtual-signal                     , __base__/graphics/icons/arrows/signal-up-down-arrow.png
signal-clockwise-circle-arrow    , arrows-misc               , f[clockwise-circle-arrow]                  , virtual-signal                     , __base__/graphics/icons/arrows/signal-clockwise-circle-arrow.png
signal-anticlockwise-circle-arrow, arrows-misc               , g[anticlockwise-circle-arrow]              , virtual-signal                     , __base__/graphics/icons/arrows/signal-anticlockwise-circle-arrow.png
signal-input                     , arrows-misc               , ha[input]                                  , virtual-signal                     , __base__/graphics/icons/arrows/signal-input.png
signal-output                    , arrows-misc               , hb[output]                                 , virtual-signal                     , __base__/graphics/icons/arrows/signal-output.png
signal-item-parameter            , parameters                , z[interrupt-parameters]-a[item-parameter]  , virtual-signal                     , __base__/graphics/icons/signal/signal-item-parameter.png
signal-fuel-parameter            , parameters                , z[interrupt-parameters]-b[fuel-parameter]  , virtual-signal                     , __base__/graphics/icons/signal/signal-fuel-parameter.png
signal-fluid-parameter           , parameters                , z[interrupt-parameters]-c[fluid-parameter] , virtual-signal                     , __base__/graphics/icons/signal/signal-fluid-parameter.png
signal-signal-parameter          , parameters                , z[interrupt-parameters]-d[signal-parameter], virtual-signal                     , __base__/graphics/icons/signal/signal-signal-parameter.png
signal-fuel                      , pictographs               , a[fuel]                                    , virtual-signal                     , __base__/graphics/icons/signal/signal-fuel.png
signal-lightning                 , pictographs               , b[lightning]                               , virtual-signal                     , __base__/graphics/icons/signal/signal-lightning.png
signal-battery-full              , pictographs               , cd[battery-full]                           , virtual-signal                     , __base__/graphics/icons/signal/signal-battery-full.png
signal-battery-mid-level         , pictographs               , cb[battery-mid-level]                      , virtual-signal                     , __base__/graphics/icons/signal/signal-battery-mid-level.png
signal-battery-low               , pictographs               , ca[battery-low]                            , virtual-signal                     , __base__/graphics/icons/signal/signal-battery-low.png
signal-radioactivity             , pictographs               , d[radioactivity]                           , virtual-signal                     , __base__/graphics/icons/signal/signal-radioactivity.png
signal-thermometer-blue          , pictographs               , e[thermometer-blue]                        , virtual-signal                     , __base__/graphics/icons/signal/signal-thermometer-blue.png
signal-thermometer-red           , pictographs               , eb[thermometer-red]                        , virtual-signal                     , __base__/graphics/icons/signal/signal-thermometer-red.png
signal-fire                      , pictographs               , f[fire]                                    , virtual-signal                     , __base__/graphics/icons/signal/signal-fire.png
signal-explosion                 , pictographs               , gb[explosion]                              , virtual-signal                     , __base__/graphics/icons/signal/signal-explosion.png
signal-snowflake                 , pictographs               , g[snowflake]                               , virtual-signal                     , __base__/graphics/icons/signal/signal-snowflake.png
signal-liquid                    , pictographs               , h[liquid]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-liquid.png
signal-stack-size                , pictographs               , i[stack]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-stack-size.png
signal-recycle                   , pictographs               , j[recycle]                                 , virtual-signal                     , __base__/graphics/icons/signal/signal-recycle.png
signal-trash-bin                 , pictographs               , k[trash-bin]                               , virtual-signal                     , __base__/graphics/icons/signal/signal-trash-bin.png
signal-science-pack              , pictographs               , l[science-pack]                            , virtual-signal                     , __base__/graphics/icons/signal/signal-science-pack.png
signal-map-marker                , pictographs               , m[map-marker]                              , virtual-signal                     , __base__/graphics/icons/signal/signal-map-marker.png
signal-white-flag                , pictographs               , mb[white-flag]                             , virtual-signal                     , __base__/graphics/icons/signal/signal-white-flag.png
signal-lock                      , pictographs               , n[lock]                                    , virtual-signal                     , __base__/graphics/icons/signal/signal-lock.png
signal-unlock                    , pictographs               , nb[unlock]                                 , virtual-signal                     , __base__/graphics/icons/signal/signal-unlock.png
signal-mining                    , pictographs               , q[mining]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-mining.png
signal-clock                     , pictographs               , p[clock]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-clock.png
signal-hourglass                 , pictographs               , pb[hourglass]                              , virtual-signal                     , __base__/graphics/icons/signal/signal-hourglass.png
signal-alarm                     , pictographs               , pc[alarm]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-alarm.png
signal-sun                       , pictographs               , pd[sun]                                    , virtual-signal                     , __base__/graphics/icons/signal/signal-sun.png
signal-moon                      , pictographs               , pe[moon]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-moon.png
signal-speed                     , pictographs               , o[speed]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-speed.png
signal-skull                     , pictographs               , sj[skull]                                  , virtual-signal                     , __base__/graphics/icons/signal/signal-skull.png
signal-damage                    , pictographs               , sjb[damage]                                , virtual-signal                     , __base__/graphics/icons/signal/signal-damage.png
signal-weapon                    , pictographs               , sjc[weapon]                                , virtual-signal                     , __base__/graphics/icons/signal/signal-weapon.png
signal-ghost                     , pictographs               , sjd[ghost]                                 , virtual-signal                     , __base__/graphics/icons/signal/signal-ghost.png
signal-any-quality               , qualities                 , z                                          , virtual-signal                     , __core__/graphics/icons/any-quality.png
