group                     , ID                             , data  , S   , X  , Y  , Icon, LBL, vani, hidden, order, en                             , ru
virtual-signal-number     , signal-36                      , 36    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 36                      , Сигнал 36
virtual-signal-number     , signal-40                      , 40    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 40                      , Сигнал 40
virtual-signal-number     , signal-45                      , 45    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 45                      , Сигнал 45
virtual-signal-number     , signal-50                      , 50    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 50                      , Сигнал 50
virtual-signal-number     , signal-55                      , 55    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 55                      , Сигнал 55
virtual-signal-number     , signal-60                      , 60    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 60                      , Сигнал 60
virtual-signal-number     , signal-64                      , 64    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 64                      , Сигнал 64
virtual-signal-number     , signal-65                      , 65    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 65                      , Сигнал 65
virtual-signal-number     , signal-70                      , 70    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 70                      , Сигнал 70
virtual-signal-number     , signal-75                      , 75    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 75                      , Сигнал 75
virtual-signal-number     , signal-80                      , 80    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 80                      , Сигнал 80
virtual-signal-number     , signal-90                      , 90    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 90                      , Сигнал 90
virtual-signal-number     , signal-96                      , 96    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 96                      , Сигнал 96
virtual-signal-number     , signal-100                     , 100   , 1.35, -17, -20,     ,    ,     ,       ,      , Signal 100                     , Сигнал 100
virtual-signal-letter     , signal-A                       , A     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-B                       , B     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-C                       , C     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-D                       , D     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-E                       , E     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-F                       , F     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-G                       , G     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-H                       , H     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-I                       , I     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-J                       , J     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-K                       , K     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-L                       , L     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-M                       , M     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-N                       , N     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-O                       , O     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-P                       , P     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-Q                       , Q     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-R                       , R     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-S                       , S     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-T                       , T     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-U                       , U     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-V                       , V     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-W                       , W     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-X                       , X     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-Y                       , Y     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-Z                       , Z     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , question                       , ?     , 2.3 ,    , -40,     ,    ,     , Y     ,      , Question                       , Вопрос
virtual-signal-letter     , exclamation                    , !     , 2.3 ,    , -40,     ,    ,     , Y     ,      , Exclamation                    , Восклицание
virtual-signal-letter     , signal-comma                   , \u002C, 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-letter-dot              , .     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-exclamation-mark        , !     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-letter     , signal-question-mark           , ?     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-colon                   , :     , 2.3 ,    , -75,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-slash                   , /     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-apostrophe              , '     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-quotation-mark          , \u0022, 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-ampersand               , &     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-circumflex-accent       , ^     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-number-sign             , #     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-punctuation, signal-percent                 , %     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-plus                    , +     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-minus                   , -     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-multiplication          , *     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-division                , ÷     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-equal                   , =     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-not-equal               , ≠     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-less-than               , <     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-greater-than            , >     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-less-than-or-equal-to   , ≤     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-greater-than-or-equal-to, ≥     , 2.3 ,    , -60,     ,    , Y   ,       ,      ,                                ,
virtual-signal-math       , signal-left-parenthesis        , (     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-right-parenthesis       , )     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-left-square-bracket     , [     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 
virtual-signal-math       , signal-right-square-bracket    , ]     , 2.3 ,    , -40,     ,    , Y   ,       ,      ,                                , 

virtual-signal-color      , transparent                    ,       ,     ,    ,    ,     ,    ,     ,       ,      , Signal Transparent             , Сигнал Прозрачный

vs2-cmn                   , on                             , ON    ,     ,    ,    ,     ,    ,     ,       ,      , Signal ON                      , Сигнал ВКЛ
vs2-cmn                   , off                            , OFF   ,     ,    ,    ,     ,    ,     ,       ,      , Signal OFF                     , Сигнал ВЫКЛ
vs2-cmn                   , min                            , MIN   ,     ,    ,    ,     ,    ,     ,       ,      , Signal MIN                     , Сигнал МИН
vs2-cmn                   , max                            , MAX   ,     ,    ,    ,     ,    ,     ,       ,      , Signal MAX                     , Сигнал МАКС
vs2-cmn                   , in                             , IN    ,     ,    ,    ,     ,    ,     ,       ,      , Signal IN                      , Сигнал ВХОД
vs2-cmn                   , out                            , OUT   ,     ,    ,    ,     ,    ,     ,       ,      , Signal OUT                     , Сигнал ВЫХОД
vs2-cmn                   , yes                            , YES   ,     ,    ,    ,     ,    ,     ,       ,      , Signal YES                     , Сигнал ДА
vs2-cmn                   , no                             , NO    ,     ,    ,    ,     ,    ,     ,       ,      , Signal NO                      , Сигнал НЕТ
vs2-cmn                   , tick                           , TICK  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Tick                    , Сигнал Тик
vs2-cmn                   , tock                           , TOCK  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Tock                    , Сигнал Тoк
vs2-cmn2                  , size                           , SIZE  ,     ,    ,    ,     ,    ,     ,       ,      , Signal Size                    , Сигнал Размер
vs2-cmn2                  , buffer                         , BUF   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Buffer                  , Сигнал Буфер
vs2-cmn2                  , cur                            , CUR   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Current                 , Сигнал Текущее
vs2-cmn2                  , sum                            , SUM   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Sum                     , Сигнал Сумма
vs2-cmn2                  , limit                          , LIM   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Limit                   , Сигнал Лимит
vs2-cmn2                  , capacity                       , CAP   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Capacity                , Сигнал Объём
vs2-cmn2                  , nil                            , NIL   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Nil                     , Сигнал Пусто
vs2-cmn2                  , test                           , TEST  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Test                    , Сигнал Тест
vs2-cmn2                  , new                            , NEW   , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal New                     , Сигнал Новый
vs2-cmn2                  , old                            , OLD   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Old                     , Сигнал Старый
vs2-cmn2                  , low                            , LOW   , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Low                     , Сигнал Низкий
vs2-cmn2                  , high                           , HIGH  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal High                    , Сигнал Высокий
vs2-cmn2                  , full                           , FULL  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Full                    , Сигнал Полный
vs2-cmn2                  , request                        , REQ   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Request                 , Сигнал Запрос
vs2-cmn2                  , response                       , RES   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Response                , Сигнал Ответ
vs2-cmn2                  , second                         , SEC   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Second                  , Сигнал Секунда
vs2-cmn2                  , minute                         , MIN   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Minute                  , Сигнал Минута
vs2-cmn2                  , hour                           , HOUR  , 0.8 ,    ,    ,     ,    ,     ,       ,      , Signal Hour                    , Сигнал Час
vs2-cmn2                  , day                            , DAY   , 0.8 ,    ,    ,     ,    ,     ,       ,      , Signal Day                     , Сигнал День
vs2-cmn2                  , fuck                           , FUCK  , 0.8 ,    ,    ,     ,    ,     ,       ,      , Signal Fuck                    , Сигнал Бля
vs2-cmn2                  , ok                             , \uF00C, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal OK                      , Сигнал OK
vs2-cmn2                  , check                          , \uF560, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal Check                   , Сигнал Проверка
vs2-cmn2                  , cloak                          , \uF017, 1.35,    , -8 , Y   ,    ,     , Y     ,      , Signal Clock                   , Сигнал Время
vs2-cmn2                  , play                           , \uF01D, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal Play                    , Сигнал Воспроизведение
vs2-cmn2                  , pause                          , \uF28B, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal Pause                   , Сигнал Пауза
vs2-cmn2                  , stop                           , \uF28D, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal Stop                    , Сигнал Стоп
vs2-cmn2                  , positive                       , \uF055, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal Positive                , Сигнал Положительное
vs2-cmn2                  , negative                       , \uF056, 1.35,    , -8 , Y   ,    ,     ,       ,      , Signal Negative                , Сигнал Отрицательное
vs2-cmn2                  , lock                           , \uF023, 1.35,    , -8 , Y   ,    ,     , Y     ,      , Signal Lock                    , Сигнал Блокировка
vs2-cmn2                  , unlock                         , \uF3C1, 1.35,    , -8 , Y   ,    ,     , Y     ,      , Signal Unlock                  , Сигнал Разблокировка
vs2-cmn2                  , empty                          , \u0020,     ,    ,    ,     ,    ,     , Y     ,      , Signal Empty                   , Сигнал Пусто
vs2-cmn3                  , size_small                     , SM    ,     ,    ,    ,     ,    ,     ,       ,      , Signal Small                   , Сигнал Малый
vs2-cmn3                  , size_medium                    , MD    ,     ,    ,    ,     ,    ,     ,       ,      , Signal Medium                  , Сигнал Средний
vs2-cmn3                  , size_large                     , LG    ,     ,    ,    ,     ,    ,     ,       ,      , Signal Large                   , Сигнал Большой
vs2-cmn3                  , size_extra_large               , XL    ,     ,    ,    ,     ,    ,     ,       ,      , Signal Extra Large             , Сигнал Очень большой
vs2-cmn3                  , size_xxl                       , XXL   ,     ,    ,    ,     ,    ,     ,       ,      , Signal XXL                     , Сигнал Огромный
vs2-cmn3                  , sev_info                       , INF   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Info                    , Сигнал Информация
vs2-cmn3                  , sev_warn                       , WRN   , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Warning                 , Сигнал Предупреждение
vs2-cmn3                  , sev_err                        , ERR   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Error                   , Сигнал Ошибка
vs2-cmn3                  , sev_critical                   , CRT   ,     ,    ,    ,     ,    ,     ,       ,      , Signal Critical                , Сигнал Критический
vs2-cmn3                  , alert                          , ALRT  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Alert                   , Сигнал Тревога
vs2-cmn3                  , trigger                        , TRIG  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal Trigger                 , Сигнал Триггер
vs2-cmn3                  , if                             , IF    ,     ,    ,    ,     ,    ,     ,       ,      , Signal IF                      , Сигнал Если
vs2-cmn3                  , else                           , ELSE  , 0.9 ,    ,    ,     ,    ,     ,       ,      , Signal ELSE                    , Сигнал Иначе
vs2-cmn3                  , var_x                          , X     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal X                       , Сигнал X
vs2-cmn3                  , var_y                          , Y     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal Y                       , Сигнал Y
vs2-cmn3                  , var_z                          , Z     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal Z                       , Сигнал Z
vs2-cmn3                  , var_w                          , W     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal W                       , Сигнал W
vs2-cmn3                  , color_r                        , R     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal R                       , Сигнал R
vs2-cmn3                  , color_g                        , G     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal G                       , Сигнал G
vs2-cmn3                  , color_b                        , B     ,     ,    ,    , Y   ,    ,     , Y     ,      , Signal B                       , Сигнал B
vs2-cmn3                  , action                         , ACT   ,     ,    ,    ,     ,    ,     ,       ,      , Signal ACT                     , Сигнал Действие

vs2-math                  , eq                             , =     , 1.35,    , 5  ,     ,    ,     , Y     ,      , Signal Equal                   , Сигнал Равно
vs2-math                  , neq                            , ≠     , 1.35,    , 5  ,     ,    ,     , Y     ,      , Signal Not Equal               , Сигнал Не равно
vs2-math                  , aeq                            , ≈     , 1.35,    , 5  ,     ,    ,     ,       ,      , Signal Approximate Equal       , Сигнал Примерно равно
vs2-math                  , gt                             , >     , 1.35, 5  ,    ,     ,    ,     , Y     ,      , Signal Greater Then            , Сигнал Больше чем
vs2-math                  , lt                             , <     , 1.35,    ,    ,     ,    ,     , Y     ,      , Signal Less Then               , Сигнал Меньше чем
vs2-math                  , ge                             , ≥     , 1.35,    ,    ,     ,    ,     , Y     ,      , Signal Greater or Equal        , Сигнал Больше или равно
vs2-math                  , le                             , ≤     , 1.35,    ,    ,     ,    ,     , Y     ,      , Signal Less or Equal           , Сигнал Меньше или равно
vs2-math                  , plus                           , +     , 1.35,    , 5  ,     ,    ,     , Y     ,      , Signal Plus                    , Сигнал Плюс
vs2-math                  , minus                          , -     , 1.75,    , -20,     ,    ,     , Y     ,      , Signal Minus                   , Сигнал Минус
vs2-math                  , plus_minus                     , ±     , 1.35,    ,    ,     ,    ,     ,       ,      , Signal Plus-Minus              , Сигнал Плюс-минус
vs2-math                  , percent                        , %     , 1.35,    , -15,     , Y  ,     , Y     ,      , Signal Percent                 , Сигнал Процент
vs2-math                  , percent_per_millie             , ‰     , 1.35,    , -15,     , Y  ,     , Y     ,      , Signal Per-millie              , Сигнал Сотый процент
vs2-math                  , one_percent                    , 1%    , 1.35, -20, -15,     , Y  ,     , Y     ,      , Signal One percent             , Сигнал Один процент
vs2-math                  , geo_angle                      , ∠     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Angle                   , Сигнал Угол
vs2-math                  , geo_perpendicular              , ⊥     ,     ,    , 5  ,     ,    ,     ,       ,      , Signal Perpendicular           , Сигнал Перпендикулярно
vs2-math                  , geo_parallel                   , ∥     ,     ,    , -5 ,     ,    ,     ,       ,      , Signal Parallel                , Сигнал Параллельно
vs2-math                  , geo_similar                    , ~     , 1.35,    , -5 ,     ,    ,     ,       ,      , Signal Similar                 , Сигнал Похожий
vs2-math                  , algo_lemni                     , ∞     , 1.35,    , -5 ,     ,    ,     ,       ,      , Signal Infinity                , Сигнал Бесконечно
vs2-math                  , algo_func                      , f     , 1.35,    , 5  ,     ,    ,     ,       ,      , Signal Function                , Сигнал Функция
vs2-math                  , algo_delta                     , ∆     , 1.35,    , 5  ,     ,    ,     ,       ,      , Signal Delta                   , Сигнал Разница
vs2-math                  , algo_sigma                     , ∑     , 1.2 ,    , -25,     ,    ,     ,       ,      , Signal Sigma                   , Сигнал Сигма
vs2-math                  , algo_golden                    , φ     , 1.2 ,    , -10,     ,    ,     , Y     ,      , Signal Golden                  , Сигнал Золотой
vs2-math                  , algo_pi                        , π     , 1.2 ,    , -10,     ,    ,     , Y     ,      , Signal PI                      , Сигнал Пи
vs2-math                  , algo_e                         , e     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal e                       , Сигнал e
vs2-math                  , algo_i                         , i     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal i                       , Сигнал i
vs2-math                  , algo_j                         , j     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal j                       , Сигнал j
vs2-math                  , algo_k                         , k     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal k                       , Сигнал k
vs2-math                  , algo_integral                  , ∫     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal Integral                , Сигнал Интеграл
vs2-math                  , algo_derivative                , ∂     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal Derivative              , Сигнал Производная
vs2-math                  , algo_power                     , ^     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal Power                   , Сигнал Степень
vs2-math                  , algo_sqrt                      , √     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal Square Root             , Сигнал Корень
vs2-math                  , empty_set                      , ∅     , 1.2 ,    , -10,     ,    ,     ,       ,      , Signal Empty Set               , Сигнал Пустое множество

vs2-greek                 , alpha                          , α     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Alpha                   , Сигнал Alpha
vs2-greek                 , beta                           , β     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Beta                    , Сигнал Beta
vs2-greek                 , gamma                          , γ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Gamma                   , Сигнал Gamma
vs2-greek                 , delta                          , δ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Delta                   , Сигнал Delta
vs2-greek                 , epsilon                        , ε     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Epsilon                 , Сигнал Epsilon
vs2-greek                 , zeta                           , ζ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Zeta                    , Сигнал Zeta
vs2-greek                 , eta                            , η     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Eta                     , Сигнал Eta
vs2-greek                 , theta                          , θ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Theta                   , Сигнал Theta
vs2-greek                 , iota                           , ι     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Iota                    , Сигнал Iota
vs2-greek                 , kappa                          , κ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Kappa                   , Сигнал Kappa
vs2-greek                 , lambda                         , λ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Lambda                  , Сигнал Lambda
vs2-greek                 , mu                             , μ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Mu                      , Сигнал Mu
vs2-greek                 , nu                             , ν     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Nu                      , Сигнал Nu
vs2-greek                 , xi                             , ξ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Xi                      , Сигнал Xi
vs2-greek                 , omicron                        , ο     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Omicron                 , Сигнал Omicron
vs2-greek                 , pi                             , π     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Pi                      , Сигнал Pi
vs2-greek                 , rho                            , ρ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Rho                     , Сигнал Rho
vs2-greek                 , sigma                          , σ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Sigma                   , Сигнал Sigma
vs2-greek                 , tau                            , τ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Tau                     , Сигнал Tau
vs2-greek                 , upsilon                        , υ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Upsilon                 , Сигнал Upsilon
vs2-greek                 , phi                            , φ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Phi                     , Сигнал Phi
vs2-greek                 , chi                            , χ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Chi                     , Сигнал Chi
vs2-greek                 , psi                            , ψ     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Psi                     , Сигнал Psi
vs2-greek                 , omega                          , ω     , 1.35,    , -20,     ,    ,     ,       ,      , Signal Omega                   , Сигнал Omega

vs2-fa                    , stack                          , \uF5FD,     ,    ,    ,     ,    ,     , Y     ,      , Signal Stack                   , Сигнал Стек
vs2-fa                    , gear                           , \uF013,     ,    ,    ,     ,    ,     ,       ,      , Signal Gear                    , Сигнал Шестерня
vs2-fa                    , gears                          , \uF085,     ,    ,    ,     ,    ,     ,       ,      , Signal Gears                   , Сигнал Шестерни
vs2-fa                    , load                           , \uF019,     ,    ,    ,     ,    ,     ,       ,      , Signal Load                    , Сигнал Загрузка
vs2-fa                    , unload                         , \uF093,     ,    ,    ,     ,    ,     ,       ,      , Signal Unload                  , Сигнал Выгрузка
vs2-fa                    , train                          , \uF239,     ,    ,    ,     ,    ,     ,       ,      , Signal Train                   , Сигнал Поезд
vs2-fa                    , ship                           , \uF21A,     ,    ,    ,     ,    ,     ,       ,      , Signal Ship                    , Сигнал Корабль
vs2-fa                    , rocket                         , \uF135,     ,    ,    ,     ,    ,     ,       ,      , Signal Rocket                  , Сигнал Ракета
vs2-fa                    , bell_on                        , \uF0F3,     ,    ,    ,     ,    ,     ,       ,      , Signal Bell On                 , Сигнал Колокол ВКЛ
vs2-fa                    , bell_off                       , \uF1F6,     ,    ,    ,     ,    ,     ,       ,      , Signal Bell Off                , Сигнал Колокол ВЫКЛ
vs2-fa                    , puzzle                         , \uF12E,     ,    ,    ,     ,    ,     ,       ,      , Signal Component               , Сигнал Компонент
vs2-fa                    , left                           , \uF30A,     ,    ,    ,     ,    ,     , Y     ,      , Signal Left                    , Сигнал Лево
vs2-fa                    , right                          , \uF30B,     ,    ,    ,     ,    ,     , Y     ,      , Signal Right                   , Сигнал Право
vs2-fa                    , up                             , \uF30C,     ,    ,    ,     ,    ,     , Y     ,      , Signal Up                      , Сигнал Верх
